,SRR24222781,SRR24222782,SRR24222783,SRR24222784,SRR24222785,SRR24222786,SRR24222787,SRR24222788,SRR24222790,SRR24222801,SRR24222812,SRR24222816,SRR24222817,SRR24222818,SRR24222819,SRR24222820,SRR24222821,SRR24222822,SRR24222823,SRR24222824,SRR24222825,SRR24222826,SRR24222827,SRR24222828,SRR24222829,SRR24222830,SRR24222831,SRR24222832,SRR24222833,SRR24222834,SRR24222835,SRR24222836,SRR24222837,SRR24222838,SRR24222839,SRR24222840,SRR24222841,SRR24222842,SRR24222843,SRR24222844,SRR24222845,SRR24222846,SRR24222847,SRR24222848,SRR24222849,SRR24222850,SRR24222851,SRR24222852,SRR24222853,SRR24222854,SRR24222855,SRR24222856,SRR24222857,SRR24222858,SRR24222859,SRR24222860,SRR24222861,SRR24222862,SRR24222863,SRR24222864,SRR24222865,SRR24222866,SRR24222867,SRR24222868
PC1,2.250405,-85.28429,-85.214355,-2.0328155,-85.32179,-85.33237,1.3454068,-4.2556815,6.841399,6.254005,7.594524,8.472813,6.5188785,7.6662745,7.3080845,5.490059,7.0348625,7.3556504,8.392151,7.018785,1.6845502,9.043652,6.842848,6.502321,7.1947494,7.633097,7.69716,7.328325,7.848398,4.790111,7.594502,8.082724,7.508578,7.7189503,6.445246,3.4725168,6.288005,5.4518228,8.242506,6.134324,3.5090792,4.10732,5.147577,5.0921197,2.8636067,8.304582,3.865825,5.562204,5.0316496,7.7478824,4.818668,5.0301404,8.107021,7.9456096,4.6504745,4.6321797,4.416243,5.5040956,0.5200585,6.8110833,5.126614,4.337781,2.4777715,8.784073
PC2,3.4471672,0.50971067,0.54834795,6.4499693,0.5246712,0.55962276,-74.55669,4.5302477,3.799793,4.192292,4.3104258,3.2486756,5.1627307,4.285113,-71.85243,-73.183525,3.3580031,2.5059006,4.16578,3.3566735,4.3864326,5.2493234,3.1186833,2.7831428,5.914015,3.7773497,2.7634342,2.935541,3.2467573,3.6428978,2.7053273,3.3309326,2.4446454,3.2931097,4.3726945,6.7714925,3.6121478,4.1644163,3.3176987,3.4674146,4.9692016,4.3105965,3.5472019,4.010706,2.6188593,4.72643,4.187668,2.8506312,4.5535502,5.279616,4.008646,4.1973505,3.1178656,2.8498807,3.2835581,2.4412065,2.547879,4.3844733,3.5573058,3.6741447,5.467744,3.2653887,2.764053,2.7261322
