,PC1,PC2
SRR24222781,0.913325395372017,0.5347031589984887
SRR24222782,-2.6694437328184017,-1.0141314030862507
SRR24222783,-2.669443732818401,-1.0141314030862483
SRR24222784,-1.9420040659454074,-0.8747965487330523
SRR24222785,-2.669443732818405,-1.0141314030862494
SRR24222786,-2.6694437328184035,-1.0141314030862505
SRR24222787,-3.0064022770088155,0.2594198672322365
SRR24222788,-1.516939978227429,-1.0411528871908442
SRR24222790,-0.0017010834994068173,0.09215104105031614
SRR24222801,1.1532918209767982,-0.6726306265777027
SRR24222812,0.423199668410477,-0.7620180326977479
SRR24222816,0.8286582084822478,0.9057448362024256
SRR24222817,0.774521798161901,-0.31173236951670774
SRR24222818,1.0774550057579937,0.24840780866624237
SRR24222819,-2.409951041773462,0.12888436737139683
SRR24222820,-2.7321360250821694,0.6562656753866806
SRR24222821,2.195878448705383,1.6680413618879735
SRR24222822,-0.9730522825254481,3.003053866664383
SRR24222823,-0.5552710259782239,1.0784915250914244
SRR24222824,1.4848707395344034,-1.1357552404174616
SRR24222825,1.3256328892279983,0.2985392878540784
SRR24222826,1.0535376087744028,-0.8615864931257414
SRR24222827,-0.9137471347956012,-0.6370901672733658
SRR24222828,-0.48391824953256196,1.5918516528179114
SRR24222829,1.0252737793422355,0.4017991218576269
SRR24222830,0.22776126726333604,0.7329584691425619
SRR24222831,0.9250189527927033,-0.5596406052966157
SRR24222832,-0.24126188303506743,1.7953505285824995
SRR24222833,-0.8533439679780164,2.1919061605122225
SRR24222834,-0.1893032130032402,-0.7876754571322495
SRR24222835,0.50276412564074,0.6315146312525483
SRR24222836,0.33246381296790817,0.8532227903617638
SRR24222837,0.15561083885625113,-1.113123272811891
SRR24222838,-0.423432592080129,2.3270163723311894
SRR24222839,0.39507987564007047,-0.9554390353828246
SRR24222840,0.010513238128723835,-0.5642017513630351
SRR24222841,1.0735859215713048,1.0237693506030787
SRR24222842,1.119330756232326,-0.7315314800489381
SRR24222843,0.8366796337718758,-1.1165341756670875
SRR24222844,0.5319613424537062,-0.34735195727824464
SRR24222845,0.33099609313810713,-1.3186212826734467
SRR24222846,0.5393695671592008,-1.0913149936134316
SRR24222847,1.829974730462817,0.5962028476122846
SRR24222848,0.3506218338865046,-0.47316376118075054
SRR24222849,-0.0631120068679336,0.7441424839555673
SRR24222850,1.0214908665902351,-1.2145663582678976
SRR24222851,-0.5974525158085026,-0.8509452234788152
SRR24222852,0.3620206040141793,1.283396793827634
SRR24222853,-0.19141152066045572,-0.02495461913517261
SRR24222854,1.0411512159090612,-1.661124592126869
SRR24222855,0.7709715581683124,-0.5453904681620045
SRR24222856,-1.2560913337143351,-0.01960319319230276
SRR24222857,0.5355389862316976,2.190665664583491
SRR24222858,0.09020384941866307,-0.5869272779294269
SRR24222859,1.2640891308473956,0.22866371305879227
SRR24222860,0.9309698920487678,-1.3223238790243725
SRR24222861,1.0931592636771768,-0.31913992635180805
SRR24222862,1.0109482104807033,-1.5875198792385796
SRR24222863,-0.41879201686027145,0.4466000583371212
SRR24222864,0.5826214148463994,-0.2202575577603271
SRR24222865,-0.5272106558587296,0.8037760396531978
SRR24222866,0.7204019546602922,-0.956479334780501
SRR24222867,-0.8521860353798595,-0.5911034698526217
SRR24222868,-0.014448462715642724,2.5956820547317045
